name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Mairie de Rosny-sous-Bois,31104,12,3,"[48.871256519012, 2.4865807592869]",2023-05-02T13:04:41+00:00,15,10,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-05-02T13:33:00.428Z
Mairie du 12ème,12109,2,5,"[48.840855311763, 2.3875549435616]",2023-05-02T13:02:37+00:00,7,23,30,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-05-02T13:33:00.428Z
Jourdan - Stade Charléty,14014,4,3,"[48.819428333369, 2.3433353751898]",2023-05-02T13:04:24+00:00,7,52,60,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Le Brun - Gobelins,13007,1,3,"[48.835092787824, 2.3534681351338]",2023-05-02T12:59:53+00:00,4,44,48,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-05-02T13:33:00.428Z
Saint-Romain - Cherche-Midi,6108,1,1,"[48.84708159081946, 2.321374788880348]",2023-05-02T13:05:24+00:00,2,14,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Pierre et Marie Curie - Maurice Thorez,42016,0,3,"[48.81580226360801, 2.376804985105991]",2023-05-02T13:06:50+00:00,3,24,27,OUI,OUI,Ivry-sur-Seine,OUI,2023-05-02T13:33:00.428Z
Bois de Vincennes - Gare,41301,1,1,"[48.836022242886884, 2.4708339950830287]",2023-05-02T13:06:44+00:00,2,47,50,OUI,OUI,Nogent-sur-Marne,OUI,2023-05-02T13:33:00.428Z
Beaux-Arts - Bonaparte,6021,9,8,"[48.856451985395786, 2.334851883351803]",2023-05-02T13:07:00+00:00,17,2,20,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Silly - Galliéni,21010,6,14,"[48.835583838706, 2.2325500845909]",2023-05-02T13:05:21+00:00,20,4,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-02T13:33:00.428Z
Place Nelson Mandela,25006,2,0,"[48.862090937689715, 2.196576297283173]",2023-05-02T13:04:04+00:00,2,20,22,OUI,OUI,Rueil-Malmaison,OUI,2023-05-02T13:33:00.428Z
Grande Armée - Brunel,17038,17,5,"[48.876116, 2.288124]",2023-05-02T13:06:11+00:00,22,39,62,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Bracion - Périphérique,15202,2,0,"[48.826103771275, 2.3004549373748]",2023-05-02T13:05:04+00:00,2,28,30,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Square Boucicaut,7003,24,35,"[48.851296433665276, 2.325061820447445]",2023-05-02T13:06:19+00:00,59,1,60,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Jouffroy d'Abbans - Wagram,17026,3,1,"[48.881973298352, 2.301132157445]",2023-05-02T13:05:27+00:00,4,19,40,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Froment - Bréguet,11025,4,3,"[48.8570414504784, 2.37289470306807]",2023-05-02T13:03:45+00:00,7,33,43,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Boétie - Ponthieu,8050,16,16,"[48.871417284355, 2.3076787590981]",2023-05-02T13:07:08+00:00,32,1,33,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Le Brix et Mesmin - Jourdan,14108,2,1,"[48.82234096593411, 2.327861653302471]",2023-05-02T12:58:07+00:00,3,17,21,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Romainville - Vaillant-Couturier,31024,1,0,"[48.86785, 2.446748]",2023-05-02T13:06:50+00:00,1,37,38,OUI,OUI,Montreuil,OUI,2023-05-02T13:33:00.428Z
Liberté - Vert-de-Maisons,47007,0,9,"[48.79014780960843, 2.43286281824112]",2023-05-02T13:05:21+00:00,9,11,20,OUI,OUI,Maisons-Alfort,OUI,2023-05-02T13:33:00.428Z
Alibert - Jemmapes,10013,2,7,"[48.871044051984, 2.3661044619878]",2023-05-02T13:06:02+00:00,9,47,60,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Porte de Saint-Ouen - Bessières,17044,2,1,"[48.89792240854517, 2.32851451022192]",2023-05-02T13:02:46+00:00,3,37,42,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Cambrai - Benjamin Constant,19033,6,10,"[48.89594736851349, 2.381133802246315]",2023-05-02T13:01:31+00:00,16,25,43,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Ramponeau - Belleville,20143,1,0,"[48.871031137596, 2.379056852114]",2023-05-02T13:03:18+00:00,1,41,44,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Saint-Cloud - Hippodrome,16138,1,4,"[48.85772148887421, 2.2549109905958176]",2023-05-02T12:57:14+00:00,5,25,30,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Louis Lejeune - Barbès,21216,1,0,"[48.81807418981508, 2.3267009854316716]",2023-05-02T13:06:10+00:00,1,24,25,OUI,OUI,Montrouge,OUI,2023-05-02T13:33:00.428Z
Général Martial Valin - Pont du Garigliano,15068,9,5,"[48.83823094269141, 2.270506024360657]",2023-05-02T13:02:05+00:00,14,2,16,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Théâtre des Amandiers - Palais des sports,92002,1,9,"[48.892648526839, 2.2136941552162]",2023-05-02T13:02:55+00:00,10,13,23,OUI,OUI,Nanterre,OUI,2023-05-02T13:33:00.428Z
Italie - Tolbiac,13030,1,0,"[48.82557229464416, 2.3576171323657036]",2023-05-02T13:02:29+00:00,1,20,21,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Serrurier,19027,1,0,"[48.8804934032465, 2.39806417375803]",2023-05-02T12:59:04+00:00,1,17,18,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Raspail Barbès,31028,3,14,"[48.8529945, 2.4247387]",2023-05-02T13:04:35+00:00,17,10,28,OUI,OUI,Montreuil,OUI,2023-05-02T13:33:00.428Z
De Toqueville - Terrasse,17048,1,2,"[48.882428, 2.314002]",2023-05-02T13:06:24+00:00,3,27,30,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Michel-Ange - Parent de Rosan,16118,1,2,"[48.840579923690115, 2.2584119439125065]",2023-05-02T12:57:52+00:00,3,22,26,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Charlot - Stade Gabriel Voisin,21323,0,0,"[48.827228120536, 2.268122527474]",2023-04-07T06:20:24+00:00,0,0,0,NON,NON,Issy-les-Moulineaux,NON,2023-05-02T13:33:00.428Z
Liard - Amiral Mouchez,14013,1,1,"[48.8214169, 2.342167]",2023-05-02T13:05:05+00:00,2,11,14,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Las Cases - Bourgogne,7011,10,10,"[48.85909110474066, 2.3185685276985173]",2023-05-02T13:06:03+00:00,20,1,22,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Abbeville - Faubourg Poissonnière,9002,2,1,"[48.879223, 2.349147]",2023-05-02T13:03:00+00:00,3,9,14,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Youri Gagarine - Karl Marx,48003,1,2,"[48.78448485079149, 2.35908430069685]",2023-05-02T13:01:16+00:00,3,19,22,OUI,OUI,Villejuif,OUI,2023-05-02T13:33:00.428Z
Octave Feuillet - Albéric Magnard,16110,5,0,"[48.86106902949534, 2.2730283066630363]",2023-05-02T13:02:35+00:00,5,16,21,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Faubourg Montmartre - La Fayette,9014,15,14,"[48.87525454905335, 2.340853661298752]",2023-05-02T13:05:31+00:00,29,4,35,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Jean Oestreicher - Porte de Champerret,17032,1,1,"[48.88655580065981, 2.288640439510346]",2023-05-02T13:06:55+00:00,2,19,21,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Square Louis XVI,8016,9,16,"[48.87320440102894, 2.323658830743138]",2023-05-02T13:06:40+00:00,25,3,29,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Dunkerque - Rocroy,10029,0,0,"[48.880726, 2.351464]",2023-05-02T13:03:47+00:00,0,22,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Gay Lussac - Saint-Jacques,5005,11,9,"[48.844730256132095, 2.341923944866407]",2023-05-02T13:06:37+00:00,20,2,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Gare de l'Est - Faubourg-Saint-Martin,10161,5,1,"[48.875642647477, 2.3594588041306]",2023-05-02T13:04:22+00:00,6,25,32,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Place de la République - Voltaire,11046,0,0,"[48.866830968942, 2.3654810339212]",2023-05-02T13:00:57+00:00,0,19,19,NON,OUI,Paris,NON,2023-05-02T13:33:00.428Z
Boulangers - Cardinal Lemoine,5022,6,12,"[48.8462904, 2.3521495]",2023-05-02T13:07:01+00:00,18,2,20,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Arsène Houssaye - Friedland,8201,25,3,"[48.874510616163, 2.2994716674148]",2023-05-02T13:06:06+00:00,28,1,29,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Quai de l'Horloge - Pont Neuf,1001,9,6,"[48.857058739111, 2.3417982839439]",2023-05-02T13:05:29+00:00,15,1,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Ambroise Rendu - Porte Brunet,19105,0,0,"[48.883667, 2.395733]",2023-05-02T13:06:23+00:00,0,16,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
